id,pond_id,species_id,total_seed,started_at,finished_at,remark,created_at,updated_at,area,initial_age,limit_weight_per_area,target_cultivation_day,target_size,extracted_at,subscription_type,ordered_at,hatchery_id,total_seed_type,hatchery_name,pond_name,pond_length,pond_width,pond_depth
18876,36294,1.0,331920,2022-10-14 00:00:00.000,2023-01-29 00:00:00.000,,2022-10-14 12:34:23.000,2023-01-30 01:46:27.000,4030.0,0.0,2.0,110.0,35.0,2024-04-12 17:02:22.000,Free,,66.0,net,UD. Benur Ndaru Laut,H,65.0,62.0,1.0
22118,37102,1.0,40000,2023-04-26 00:00:00.000,2023-06-23 00:00:00.000,#TBR01,2023-04-30 22:28:13.000,2023-06-26 05:35:32.000,399.0,0.0,1.25,120.0,100.0,2024-04-12 17:02:22.000,Free,,83.0,net,CV Raja Benur,A1,30.0,20.0,1.0
24088,39154,,357570,2023-08-01 00:00:00.000,2023-10-18 00:00:00.000,#SiklusFarm,2023-07-12 01:13:05.000,2023-10-19 04:23:11.000,2000.0,0.0,1.25,120.0,20.0,2024-04-12 17:02:22.000,Free,2023-07-12 01:13:05.000,1004.0,gross,PT. Tri Karta Pratama - Total Kualitas Prima,A3,50.0,40.0,1.4
17743,20914,1.0,168275,2022-07-19 00:00:00.000,2022-09-29 00:00:00.000,#SiklusCustomerPermadi,2022-08-14 04:40:46.000,2022-10-06 00:09:36.000,1512.0,0.0,1.25,100.0,55.0,2024-04-12 17:02:22.000,Free,,3.0,actual,PT. Central Proteinaprima Tbk,B4,54.0,28.0,1.5
17125,34187,1.0,188000,2022-07-07 00:00:00.000,2022-09-20 00:00:00.000,#SiklusTebar,2022-07-12 00:24:30.000,2022-10-15 04:27:24.000,1225.0,0.0,1.25,100.0,55.0,2024-04-12 17:02:22.000,Free,2022-07-12 00:24:30.000,35.0,net,PT Windu Alam Sentosa,A,35.0,35.0,1.2
28070,46261,,200128,2023-12-20 00:00:00.000,2024-03-30 00:00:00.000,,2023-12-12 04:54:37.000,2024-04-06 00:06:16.000,803.84,0.0,1.25,120.0,55.0,2024-04-12 17:02:22.000,Free,2023-12-12 04:54:37.000,,actual,,B8,32.0,32.0,1.5
26058,44147,1.0,148007,2023-10-02 00:00:00.000,2024-03-03 00:00:00.000,#SiklusFarm,2023-10-03 03:12:22.000,2024-03-08 03:46:12.000,1254.0,0.0,1.25,153.0,55.0,2024-04-12 17:02:22.000,Free,2024-02-07 00:00:00.000,20.0,net,PT. Maju Tambak Sumur,K4,34.64,34.65,1.3
26058,44147,1.0,148007,2023-10-02 00:00:00.000,2024-03-03 00:00:00.000,#SiklusFarm,2023-10-03 03:12:22.000,2024-03-08 03:46:12.000,1254.0,0.0,1.25,153.0,55.0,2024-04-12 17:02:22.000,Free,2024-02-03 10:36:04.000,20.0,net,PT. Maju Tambak Sumur,K4,34.64,34.65,1.3
24702,34746,,439635,2023-07-19 00:00:00.000,2023-07-29 00:00:00.000,,2023-08-08 10:55:46.000,2023-09-08 10:43:35.000,35.0,0.0,1.25,10.0,55.0,2024-04-12 17:02:22.000,Free,,1020.0,actual,MATERNIDADE NACALA,N13,7.0,5.0,1.0
24007,34746,2.0,501054,2023-07-08 00:00:00.000,2023-07-17 00:00:00.000,,2023-07-10 07:08:53.000,2023-08-07 09:57:49.000,35.0,0.0,1.25,9.0,55.0,2024-04-12 17:02:22.000,Free,,1020.0,actual,MATERNIDADE NACALA,N13,7.0,5.0,1.0
25693,34746,2.0,410121,2023-09-13 00:00:00.000,2023-10-07 00:00:00.000,,2023-09-21 11:18:55.000,2023-10-13 06:18:49.000,35.0,0.0,1.25,25.0,55.0,2024-04-12 17:02:22.000,Paid,,1020.0,actual,MATERNIDADE NACALA,N13,7.0,5.0,1.0
9921,19381,1.0,70000,2021-05-20 00:00:00.000,2021-07-24 00:00:00.000,,2021-05-23 09:19:23.000,2021-07-25 01:08:07.000,725.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2021-06-05 06:12:07.000,,,,Petak 1,31.09,23.32,1.0
12324,24019,1.0,90000,2021-09-30 00:00:00.000,2021-11-25 00:00:00.000,,2021-09-30 22:45:15.000,2021-12-01 13:41:53.000,1000.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2021-10-16 04:39:11.000,,,,A,36.51,27.39,1.2
18732,36117,1.0,436320,2022-08-14 00:00:00.000,2022-12-03 00:00:00.000,#SiklusBDDimas,2022-10-06 12:09:17.000,2022-12-10 00:08:58.000,3025.0,1.0,1.25,130.0,55.0,2024-04-12 17:02:22.000,Free,2022-10-06 12:09:17.000,1000.0,actual,AGAPE Hatchery,A2,55.0,55.0,1.2
24480,36656,1.0,40000,2023-07-29 00:00:00.000,2023-09-15 00:00:00.000,,2023-07-29 03:29:36.000,2023-09-15 11:33:34.000,1750.0,0.0,270.0,90.0,80.0,2024-04-12 17:02:22.000,Free,,1001.0,net,PT. Sinar Barru Prima,A1,48.5,37.3,1.1
20530,30343,1.0,3000,2023-01-25 00:00:00.000,2023-03-20 00:00:00.000,,2023-01-26 00:06:03.000,2023-03-27 00:17:27.000,7.07,0.0,3.5,120.0,55.0,2024-04-12 17:02:22.000,Free,,66.0,net,UD. Benur Ndaru Laut,KOLAM 2,3.0,3.0,1.0
24542,41484,,516780,2023-08-04 00:00:00.000,2023-10-13 00:00:00.000,#BD-Katalis01,2023-08-01 04:54:31.000,2023-10-13 13:20:47.000,3775.2,0.0,1.25,90.0,40.0,2024-04-12 17:02:22.000,Free,2023-08-01 04:54:31.000,1000.0,actual,AGAPE Hatchery,Petak 2,60.0,62.92,1.2
24886,43001,1.0,100000,2023-08-20 00:00:00.000,2023-12-06 00:00:00.000,,2023-08-16 12:55:29.000,2023-12-06 16:44:08.000,1050.0,0.0,2.0,120.0,45.0,2024-04-12 17:02:22.000,Free,,3.0,net,PT. Central Proteinaprima Tbk,Kolam 1,35.0,30.0,1.0
