id,province,regency,timezone
652,JAWA BARAT,SUBANG,+07:00
869,SULAWESI SELATAN,BARRU,+08:00
900,JAWA TIMUR,PACITAN,+07:00
1000,JAWA TIMUR,SITUBONDO,+07:00
1106,JAWA TIMUR,BANYUWANGI,+07:00
1520,JAWA TENGAH,DEMAK,+07:00
1650,JAWA TIMUR,BANYUWANGI,+07:00
1662,JAWA TIMUR,BANYUWANGI,+07:00
1739,LAMPUNG,PESISIR BARAT,+07:00
1952,JAWA TIMUR,BANYUWANGI,+07:00
2171,JAWA TENGAH,JEPARA,+07:00
2210,LAMPUNG,TULANGBAWANG,+07:00
2271,LAMPUNG,TULANGBAWANG,+07:00
2300,BALI,BULELENG,+08:00
2410,JAWA TENGAH,CILACAP,+07:00
2447,JAWA TIMUR,BANYUWANGI,+07:00
2448,JAWA TIMUR,BANYUWANGI,+07:00
2465,JAWA TENGAH,KENDAL,+07:00
2526,LAMPUNG,PESAWARAN,+07:00
2527,LAMPUNG,PESAWARAN,+07:00
2543,GORONTALO,POHUWATO,+08:00
2545,LAMPUNG,LAMPUNG SELATAN,+07:00
2551,JAWA TIMUR,BANYUWANGI,+07:00
2552,JAWA TIMUR,BANYUWANGI,+07:00
2553,JAWA TIMUR,BANYUWANGI,+07:00
2563,JAWA TIMUR,BANYUWANGI,+07:00
2584,JAWA TIMUR,BANYUWANGI,+07:00
2599,JAWA TIMUR,BANYUWANGI,+07:00
2652,JAWA TIMUR,BANYUWANGI,+07:00
2654,JAWA BARAT,SUBANG,+07:00
2660,JAWA BARAT,SUBANG,+07:00
2666,JAWA TIMUR,SITUBONDO,+07:00
2960,ACEH,,+07:00
3002,BANTEN,PANDEGLANG,+07:00
3009,JAWA TENGAH,JEPARA,+07:00
3248,LAMPUNG,TULANGBAWANG,+07:00
3318,JAWA TENGAH,PURWOREJO,+07:00
3334,JAWA TENGAH,PURWOREJO,+07:00
3550,JAWA BARAT,INDRAMAYU,+07:00
3560,RIAU,BENGKALIS,+07:00
3593,JAWA TIMUR,PROBOLINGGO,+07:00
3913,DI YOGYAKARTA,BANTUL,+07:00
3985,LAMPUNG,TULANGBAWANG,+07:00
3994,LAMPUNG,,+07:00
3995,LAMPUNG,,+07:00
4277,JAWA TIMUR,BANYUWANGI,+07:00
4459,JAWA TENGAH,CILACAP,+07:00
4466,JAWA TIMUR,SITUBONDO,+07:00
4540,JAWA BARAT,GARUT,+07:00
4901,JAWA TIMUR,BANYUWANGI,+07:00
4902,JAWA TIMUR,BANYUWANGI,+07:00
4904,JAWA TIMUR,BANYUWANGI,+07:00
4906,JAWA TIMUR,BANYUWANGI,+07:00
4909,JAWA TIMUR,BANYUWANGI,+07:00
4940,JAWA TIMUR,SAMPANG,+07:00
4945,SULAWESI SELATAN,BULUKUMBA,+08:00
5108,JAWA TIMUR,GRESIK,+07:00
5225,BANTEN,SERANG,+07:00
5265,KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,+07:00
5275,BANTEN,PANDEGLANG,+07:00
5346,JAWA TIMUR,BANYUWANGI,+07:00
5347,JAWA TIMUR,BANYUWANGI,+07:00
5348,JAWA TIMUR,BANYUWANGI,+07:00
5349,JAWA TIMUR,BANYUWANGI,+07:00
5350,JAWA TIMUR,BANYUWANGI,+07:00
5351,JAWA TIMUR,BANYUWANGI,+07:00
5352,JAWA TIMUR,BANYUWANGI,+07:00
5353,JAWA TIMUR,BANYUWANGI,+07:00
5354,JAWA TIMUR,BANYUWANGI,+07:00
5355,JAWA TIMUR,BANYUWANGI,+07:00
5356,JAWA TIMUR,BANYUWANGI,+07:00
5358,JAWA TIMUR,BANYUWANGI,+07:00
5359,JAWA TIMUR,BANYUWANGI,+07:00
5360,JAWA TIMUR,BANYUWANGI,+07:00
5361,JAWA TIMUR,BANYUWANGI,+07:00
5362,JAWA TIMUR,BANYUWANGI,+07:00
5363,JAWA TIMUR,BANYUWANGI,+07:00
5364,JAWA TIMUR,BANYUWANGI,+07:00
5365,JAWA TIMUR,BANYUWANGI,+07:00
5432,JAWA TENGAH,CILACAP,+07:00
5549,JAWA TIMUR,BANYUWANGI,+07:00
5568,JAWA BARAT,PANGANDARAN,+07:00
5757,JAWA TIMUR,PASURUAN,+07:00
5794,JAWA TIMUR,SUMENEP,+07:00
5824,JAWA TIMUR,GRESIK,+07:00
5858,JAWA TENGAH,PATI,+07:00
5963,LAMPUNG,LAMPUNG SELATAN,+07:00
5965,JAWA TENGAH,PEMALANG,+07:00
5966,JAWA TENGAH,PEMALANG,+07:00
5967,JAWA TENGAH,PEMALANG,+07:00
5968,JAWA TENGAH,PEMALANG,+07:00
5973,JAWA TENGAH,PURWOREJO,+07:00
5974,JAWA TENGAH,PEMALANG,+07:00
5975,JAWA TENGAH,PEMALANG,+07:00
