id,cycle_id,quantity,recorded_at,created_at,updated_at,average_weight
185,8007,83334,2021-03-04,2021-03-04 03:46:42,2024-01-08 11:40:40,1.5
186,8007,43334,2021-03-05,2021-03-05 06:47:30,2024-01-08 11:40:40,1.5
188,8139,870,2021-03-04,2021-03-11 09:00:34,2024-01-08 11:40:40,3.45
189,8139,1160,2021-03-05,2021-03-11 09:02:41,2024-01-08 11:40:40,3.45
190,8139,2030,2021-03-07,2021-03-11 09:03:27,2024-01-08 11:40:40,3.45
191,8139,1450,2021-03-09,2021-03-11 09:05:18,2024-01-08 11:40:40,3.45
203,7289,1492,2021-03-05,2021-03-14 09:55:41,2024-01-08 11:40:40,14.07
269,7276,1492,2021-03-05,2021-03-14 17:50:41,2024-01-08 11:40:40,14.07
277,7293,1492,2021-03-05,2021-03-14 18:11:53,2024-01-08 11:40:40,14.07
379,7606,25248,2021-03-28,2021-03-29 08:56:48,2024-01-08 11:40:40,1.9
439,7273,37400,2021-01-22,2021-04-06 14:06:54,2024-01-08 11:40:40,5.0
442,7273,2664,2021-02-05,2021-04-06 14:24:13,2024-01-08 11:40:40,9.01
443,7273,2125,2021-02-19,2021-04-06 14:29:11,2024-01-08 11:40:40,12.05
444,7273,1491,2021-03-05,2021-04-06 14:32:16,2024-01-08 11:40:40,14.08
462,7277,2126,2021-02-19,2021-04-06 14:50:04,2024-01-08 11:40:40,12.04
464,7277,1492,2021-03-05,2021-04-06 14:50:04,2024-01-08 11:40:40,14.07
465,7277,2665,2021-02-05,2021-04-06 14:50:04,2024-01-08 11:40:40,9.01
466,7277,37400,2021-01-22,2021-04-06 14:50:04,2024-01-08 11:40:40,5.0
467,7276,2654,2021-02-19,2021-04-06 15:07:37,2024-01-08 11:40:40,9.61
468,7276,2665,2021-02-05,2021-04-06 15:07:37,2024-01-08 11:40:40,9.01
469,7276,37400,2021-01-22,2021-04-06 15:07:37,2024-01-08 11:40:40,5.0
473,7289,2126,2021-02-19,2021-04-06 17:07:51,2024-01-08 11:40:40,12.04
474,7289,2665,2021-02-05,2021-04-06 17:07:51,2024-01-08 11:40:40,9.01
475,7289,37400,2021-01-22,2021-04-06 17:07:51,2024-01-08 11:40:40,5.0
492,7293,2126,2021-02-19,2021-04-06 23:09:46,2024-01-08 11:40:40,12.04
493,7293,37400,2021-01-22,2021-04-06 23:09:47,2024-01-08 11:40:40,5.0
494,7293,2665,2021-02-05,2021-04-06 23:09:47,2024-01-08 11:40:40,9.01
512,7303,1492,2021-03-05,2021-04-06 23:21:02,2024-01-08 11:40:40,14.07
513,7303,2126,2021-02-19,2021-04-06 23:21:02,2024-01-08 11:40:40,12.04
514,7303,2665,2021-02-05,2021-04-06 23:21:02,2024-01-08 11:40:40,9.01
515,7303,37400,2021-01-22,2021-04-06 23:21:02,2024-01-08 11:40:40,5.0
667,8005,114194,2021-04-11,2021-04-12 01:11:46,2024-01-08 11:40:40,14.8
668,8008,3000,2021-04-12,2021-04-12 01:17:22,2024-01-08 11:40:40,80.0
672,7606,4000,2021-04-10,2021-04-12 13:45:06,2024-01-08 11:40:40,3.0
1196,7605,3910,2021-05-29,2021-05-30 12:52:01,2024-01-08 11:40:40,11.76
1206,8259,1750,2021-05-30,2021-05-30 12:52:01,2024-01-08 11:40:40,14.29
1208,8265,3312,2021-05-30,2021-05-30 12:52:01,2024-01-08 11:40:40,10.87
1235,9106,1076,2021-05-15,2021-06-01 16:05:04,2024-01-08 11:40:40,2.81
1236,9106,2134,2021-05-16,2021-06-01 16:07:36,2024-01-08 11:40:40,2.89
1237,9106,3267,2021-05-17,2021-06-01 16:09:57,2024-01-08 11:40:40,2.96
1309,7606,2592,2021-06-04,2021-06-04 11:45:21,2024-01-08 11:40:40,13.89
1317,7605,3008,2021-06-02,2021-06-04 11:45:22,2024-01-08 11:40:40,10.64
1322,8259,1725,2021-06-03,2021-06-04 11:45:22,2024-01-08 11:40:40,14.49
1324,8265,4914,2021-06-03,2021-06-04 11:45:22,2024-01-08 11:40:40,10.99
1408,7605,3150,2021-06-07,2021-06-11 03:29:58,2024-01-08 11:40:40,11.11
1411,8259,2139,2021-06-05,2021-06-11 03:29:58,2024-01-08 11:40:40,14.49
1412,8259,134,2021-06-08,2021-06-11 03:29:58,2024-01-08 11:40:40,14.93
1416,8265,3813,2021-06-06,2021-06-11 03:29:58,2024-01-08 11:40:40,8.13
1417,8265,4080,2021-06-08,2021-06-11 03:29:58,2024-01-08 11:40:40,8.33
1422,8266,1776,2021-06-05,2021-06-11 03:29:58,2024-01-08 11:40:40,13.51
1769,10203,1500,2021-07-27,2021-07-27 02:45:02,2024-01-08 11:40:40,1.0
1770,10203,2000,2021-07-25,2021-07-27 02:45:46,2024-01-08 11:40:40,1.0
1771,10203,2000,2021-07-21,2021-07-27 02:46:27,2024-01-08 11:40:40,1.0
1772,10203,2000,2021-07-23,2021-07-27 02:48:14,2024-01-08 11:40:40,1.0
1774,10201,2500,2021-07-25,2021-07-27 03:00:12,2024-01-08 11:40:40,1.0
1775,10201,1000,2021-07-26,2021-07-27 03:01:19,2024-01-08 11:40:40,1.0
1776,10258,2500,2021-07-25,2021-07-27 03:02:14,2024-01-08 11:40:40,1.0
1777,10258,2500,2021-07-24,2021-07-27 03:03:04,2024-01-08 11:40:40,1.0
1778,10258,500,2021-07-27,2021-07-27 03:03:36,2024-01-08 11:40:40,1.0
1779,10258,2000,2021-07-26,2021-07-27 03:04:13,2024-01-08 11:40:40,1.0
1780,10196,2000,2021-06-14,2021-07-27 07:09:42,2024-01-08 11:40:40,1.0
1820,9990,10800,2021-07-09,2021-07-31 18:17:00,2024-01-08 11:40:40,9.26
1894,10195,3,2021-08-09,2021-08-09 01:28:09,2024-01-08 11:40:40,6.8
1895,10384,10000,2021-07-22,2021-08-09 03:31:21,2024-01-08 11:40:40,5.0
1950,10737,880,2021-08-15,2021-08-16 23:16:20,2024-01-08 11:40:40,9.09
1951,10737,440,2021-08-16,2021-08-16 23:16:46,2024-01-08 11:40:40,9.09
1960,10763,33,2021-08-16,2021-08-18 09:07:42,2024-01-08 11:40:40,5.99
1967,10764,77,2021-08-17,2021-08-19 02:52:29,2024-01-08 11:40:40,5.15
1974,10737,286,2021-08-17,2021-08-19 23:18:22,2024-01-08 11:40:40,9.09
1975,10737,407,2021-08-18,2021-08-19 23:19:11,2024-01-08 11:40:40,9.09
1976,10737,440,2021-08-19,2021-08-19 23:19:29,2024-01-08 11:40:40,9.09
1992,10367,170,2021-08-27,2021-08-21 13:35:50,2024-01-08 11:40:40,11.76
1999,10195,18,2021-08-19,2021-08-22 09:23:35,2024-01-08 11:40:40,10.75
2000,10195,9,2021-08-18,2021-08-22 09:23:35,2024-01-08 11:40:40,10.75
2001,10195,285,2021-08-17,2021-08-22 09:24:40,2024-01-08 11:40:40,10.53
2002,10195,300,2021-08-16,2021-08-22 09:25:39,2024-01-08 11:40:40,10.0
2004,10195,330,2021-08-15,2021-08-22 11:37:59,2024-01-08 11:40:40,9.09
2005,10195,440,2021-08-14,2021-08-22 11:37:59,2024-01-08 11:40:40,9.09
2006,10195,480,2021-08-13,2021-08-22 11:38:55,2024-01-08 11:40:40,8.33
2007,10195,250,2021-08-12,2021-08-22 11:39:24,2024-01-08 11:40:40,8.0
2024,10764,38,2021-08-19,2021-08-23 23:34:56,2024-01-08 11:40:40,5.26
2025,10764,72,2021-08-22,2021-08-23 23:35:24,2024-01-08 11:40:40,5.56
2026,10366,130,2021-08-23,2021-08-24 04:50:48,2024-01-08 11:40:40,15.38
2027,10366,97,2021-08-24,2021-08-24 04:50:49,2024-01-08 11:40:40,15.38
2028,10367,273,2021-08-24,2021-08-24 04:55:08,2024-01-08 11:40:40,12.82
2029,10764,75,2021-08-24,2021-08-24 08:52:59,2024-01-08 11:40:40,6.67
2034,10366,78,2021-08-25,2021-08-25 03:42:37,2024-01-08 11:40:40,15.38
2035,10367,154,2021-08-25,2021-08-25 03:43:15,2024-01-08 11:40:40,12.99
2043,10763,1080,2021-08-26,2021-08-26 05:18:22,2024-01-08 11:40:40,8.33
2049,10366,71,2021-08-27,2021-08-27 09:31:48,2024-01-08 11:40:40,18.18
2050,10763,1100,2021-08-27,2021-08-27 09:53:02,2024-01-08 11:40:40,9.09
2051,10764,24,2021-08-27,2021-08-27 10:04:25,2024-01-08 11:40:40,8.33
2133,10737,385,2021-08-20,2021-09-01 15:39:06,2024-01-08 11:40:40,9.09
2134,10737,385,2021-08-21,2021-09-01 15:41:09,2024-01-08 11:40:40,9.09
2135,10737,385,2021-08-22,2021-09-01 15:41:57,2024-01-08 11:40:40,9.09
2136,10737,328,2021-08-23,2021-09-01 15:43:53,2024-01-08 11:40:40,12.2
2248,11346,1360,2021-09-13,2021-09-13 10:14:34,2024-01-08 11:40:40,5.88
2249,11346,765,2021-09-12,2021-09-13 10:14:53,2024-01-08 11:40:40,5.88
2250,11346,425,2021-09-10,2021-09-13 10:15:14,2024-01-08 11:40:40,5.88
2270,11346,2380,2021-09-15,2021-09-15 15:56:27,2024-01-08 11:40:40,5.88
2272,11346,2210,2021-09-16,2021-09-16 00:41:09,2024-01-08 11:40:40,5.88
2279,11346,3060,2021-09-17,2021-09-17 02:57:23,2024-01-08 11:40:40,5.88
2436,10241,100,2021-07-22,2021-09-29 06:29:07,2024-01-08 11:40:40,4.3
2437,10241,348,2021-07-23,2021-09-29 06:30:47,2024-01-08 11:40:40,4.31
2438,10241,696,2021-07-24,2021-09-29 06:32:18,2024-01-08 11:40:40,4.31
2439,10241,1456,2021-07-25,2021-09-29 06:32:55,2024-01-08 11:40:40,4.81
