id,farm_id,length,width,deep,created_at,updated_at,record_id,extracted_at,max_seed_density
2117,8,,,,2018-04-19 20:09:43.000,2018-04-19 20:09:43.000,ponds_2023_12_21_2117,2023-12-21 17:02:10.000,
9,3,16.7,36.2,,2018-03-07 19:05:09.000,2018-03-15 00:58:08.000,ponds_2024_4_12_9,2024-04-12 17:02:11.000,
2116,8,,,,2018-04-19 20:09:43.000,2018-04-19 20:09:43.000,ponds_2023_12_21_2116,2023-12-21 17:02:10.000,
7,3,46.5,32.6,1.1,2018-03-07 19:05:09.000,2018-03-15 00:51:55.000,ponds_2024_4_12_7,2024-04-12 17:02:11.000,131.926121
8,3,48.5,33.0,1.1,2018-03-07 19:05:09.000,2022-05-28 13:31:07.000,ponds_2024_4_12_8,2024-04-12 17:02:11.000,124.921924
11,3,28.2,34.5,1.1,2018-03-07 19:05:09.000,2018-03-15 00:55:32.000,ponds_2024_4_12_11,2024-04-12 17:02:11.000,205.549846
2118,8,,,,2018-04-19 20:09:43.000,2018-04-19 20:09:43.000,ponds_2023_12_21_2118,2023-12-21 17:02:10.000,
4,3,49.14,36.85,0.9,2018-03-07 19:05:09.000,2022-02-28 21:02:57.000,ponds_2024_4_12_4,2024-04-12 17:02:11.000,118.75
2114,8,,,,2018-04-19 20:09:43.000,2018-04-19 20:09:43.000,ponds_2023_12_21_2114,2023-12-21 17:02:10.000,
27136,6901,46.19,34.64,,2021-10-04 03:49:38.000,2021-10-04 03:49:38.000,ponds_2024_4_12_27136,2024-04-12 17:02:11.000,
27131,6901,57.74,43.3,,2021-10-04 03:49:38.000,2021-10-04 03:49:38.000,ponds_2024_4_12_27131,2024-04-12 17:02:11.000,
28868,7383,51.64,38.73,,2021-11-30 08:59:31.000,2021-11-30 08:59:31.000,ponds_2024_4_12_28868,2024-04-12 17:02:11.000,50.0
17565,3,28.0,12.0,1.55,2020-10-12 07:28:28.000,2020-10-12 07:28:28.000,ponds_2024_4_12_17565,2024-04-12 17:02:11.000,977.329412
27135,6901,46.19,34.64,,2021-10-04 03:49:38.000,2021-10-04 03:49:38.000,ponds_2024_4_12_27135,2024-04-12 17:02:11.000,
26452,6738,62.72,47.04,,2021-09-14 00:54:35.000,2021-09-14 00:54:35.000,ponds_2024_4_12_26452,2024-04-12 17:02:11.000,
28814,7364,36.51,27.39,,2021-11-28 14:35:15.000,2021-11-28 14:35:15.000,ponds_2024_4_12_28814,2024-04-12 17:02:11.000,
28818,7364,36.51,27.39,,2021-11-28 14:35:15.000,2021-11-28 14:35:15.000,ponds_2024_4_12_28818,2024-04-12 17:02:11.000,
16883,3,,,1.7,2020-09-10 00:39:06.000,2020-09-10 00:39:06.000,ponds_2024_4_12_16883,2024-04-12 17:02:11.000,81.0
